Nombre / Inventario,Fecha,Pais,Tipo de Objeto,Estructura Imagen (JSON/Link)
"MRZ Inv.Nr. 2025.1180, Gewebe mit Vogelmuster",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/e8/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1180-Gewebe-mit-Vogelmuster.jpg""}"
"MRZ Inv.Nr. 2025.1185, Inka Poncho",Ano 1001,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c2/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1185-Inka-Poncho.jpg""}"
"MRZ Inv.Nr. 2025.1191, Proto-Nazca (?) Schmuckborte mit Muñecas",Desconocida,Perú,Q28823,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/ee/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1191-Proto-Nazca-%28%3F%29-Schmuckborte-mit-Mu%C3%B1ecas.jpg""}"
"MRZ Inv.Nr. 2025.1186, Poncho/ grosses Tuch",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/2/2f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1186-Poncho-grosses-Tuch.jpg""}"
"MRZ Inv.Nr. 2025.1187, Hemdornament",Desconocida,Q419,Q28823,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/0b/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1187-Hemdornament.jpg""}"
"MRZ Inv.Nr. 2025.1192, Nazca (?) Schmuckborte mit Figuren",Ano 1,Q419,Q28823,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/9/99/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1192-Nazca-%28%3F%29-Schmuckborte-mit-Figuren.jpg""}"
Inv. 2025.1193 Gesticktes Gewebe mit Vogelmuster,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/4/43/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1193-Gesticktes-Gewebe-mit-Vogelmuster.jpg""}"
Inv. 2025.1188 Gurt mit Fransen und Quaste,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1188-Gurt-mit-Fransen-und-Quaste.jpg""}"
Inv. 2025.1189 Männertunika (Unku),Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1189-M%C3%A4nnertunika-%28Unku%29.jpg""}"
Inv. 2025.1194 Fragment von Schilfbox umwickelt mit Garnen,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1194-Fragment-von-Schilfbox-umwickelt-mit-Garnen.jpg""}"
Inv. 2025.1190 Netzgewebe,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1190-Netzgewebe.jpg""}"
Inv. 2025.1195 Chumpi (Schärpe) mit Medaillons und Quasten,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1195-Chumpi-%28Sch%C3%A4rpe%29-mit-Medaillons-und-Quasten.jpg""}"
"MRZ Inv.Nr. 2025.1201, Bemaltes Gewebe",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1201-Bemaltes-Gewebe.jpg""}"
Inv. 2025.1197 Wirkerei mit Streifen und zoomorphischen Figuren,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1197-Wirkerei-mit-Streifen-und-zoomorphischen-Figuren.jpg""}"
Inv. 2025.1196 Gewebter Gurt mit Zöpfen,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1196-Gewebter-Gurt-mit-Z%C3%B6pfen.jpg""}"
"MRZ Inv.Nr. 2025.1202, Gestreiftes, gewebtes Textilobjekt",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/50/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1202-Gestreiftes-gewebtes-Textilobjekt.jpg""}"
Inv. 2025.1198 Gewebe mit vier menschlichen Figuren,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1198-Gewebe-mit-vier-menschlichen-Figuren.jpg""}"
"MRZ Inv.Nr. 2025.1203, Netzgewebe",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7e/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1203-Netzgewebe.jpg""}"
Inv. 2025.1199 Textil,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1199-Textil.jpg""}"
"MRZ Inv.Nr. 2025.1204, Männertunika",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/b/b5/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1204-M%C3%A4nnertunika.jpg""}"
"MRZ Inv.Nr. 2025.1205, Gestickte Gewebe",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/b/b6/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1205-Gestickte-Gewebe.jpg""}"
"MRZ Inv.Nr. 2025.1200, Gürtel?",Ano 1001,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/8a/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1200-G%C3%BCrtel%3F.jpg""}"
"MRZ Inv.Nr. 2025.1210, Schmuckborte",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/db/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1210-Schmuckborte.jpg""}"
"MRZ Inv.Nr. 2025.1206, Chuquibamba Zeremonielle Tasche",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/53/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1206-Chuquibamba-Zeremonielle-Tasche.jpg""}"
"MRZ Inv.Nr. 2025.1211, Band mit gestrickten Köpfen",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/6/68/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1211-Band-mit-gestrickten-K%C3%B6pfen.jpg""}"
"MRZ Inv.Nr. 2025.1207, Fragment einer Miniatur-Männertunika mit Federn (?)",Ano 1001,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1207-Fragment-einer-Miniatur-M%C3%A4nnertunika-mit-Federn-%28%3F%29.jpg""}"
"MRZ Inv.Nr. 2025.1219, Gewebefragment mit Bordüre",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1219-Gewebefragment-mit-Bord%C3%BCre.jpg""}"
