Nombre / Inventario,Fecha,Pais,Tipo de Objeto,Estructura Imagen (JSON/Link)
"MRZ Inv.Nr. 2025.1402, Wirkereifragment",Ano 1,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/51/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1402-Wirkereifragment.jpg""}"
"MRZ Inv.Nr. 2025.1304, Muschelarmband",Ano 1,Perú,joyería,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1304-Muschelarmband.jpg""}"
"MRZ Inv.Nr. 2025.1305, Armband",Ano 1,Perú,joyería,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1305-Armband.jpg""}"
"MRZ Inv.Nr. 2025.267, Axt",Desconocida,Ecuador,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/6/65/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.267-Axt.jpg""}"
"MRZ Inv.Nr. 2025.268, Axt",Desconocida,Ecuador,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c4/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.268-Axt.jpg""}"
"MRZ Inv.Nr. 2025.273, Kleine Axt",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/b/b0/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.273-Kleine-Axt.jpg""}"
"MRZ Inv.Nr. 2025.274, Stein",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.274-Stein.jpg""}"
"MRZ Inv.Nr. 2025.269, Axt",Desconocida,Ecuador,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/03/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.269-Axt.jpg""}"
"MRZ Inv.Nr. 2025.275, Stein",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/f/fd/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.275-Stein.jpg""}"
"MRZ Inv.Nr. 2025.270, Steinaxt",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/18/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.270-Steinaxt.jpg""}"
"MRZ Inv.Nr. 2025.271, Polierstein",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.271-Polierstein.jpg""}"
"MRZ Inv.Nr. 2025.276, Stein",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/de/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.276-Stein.jpg""}"
"MRZ Inv.Nr. 2025.277, Kopf einer Raubkatze",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/d7/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.277-Kopf-einer-Raubkatze.jpg""}"
"MRZ Inv.Nr. 2025.272, Axt",Desconocida,México,aparato,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/d1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.272-Axt.jpg""}"
"MRZ Inv.Nr. 2025.278, Fledermausflügel-Pektorale",Desconocida,Colombia,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/03/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.278-Fledermausfl%C3%BCgel-Pektorale.jpg""}"
"MRZ Inv.Nr. 2025.283, Steinkopf",Desconocida,Costa Rica,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/55/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.283-Steinkopf.jpg""}"
"MRZ Inv.Nr. 2025.279, Fledermausflügel-Pektorale",Desconocida,Colombia,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/d3/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.279-Fledermausfl%C3%BCgel-Pektorale.jpg""}"
"MRZ Inv.Nr. 2025.284, Steinkopf",Desconocida,Costa Rica,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/ca/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.284-Steinkopf.jpg""}"
"MRZ Inv.Nr. 2025.285, Steinkopf",Desconocida,Costa Rica,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/37/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.285-Steinkopf.jpg""}"
"MRZ Inv.Nr. 2025.280, Stein",Desconocida,México,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/eb/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.280-Stein.jpg""}"
"MRZ Inv.Nr. 2025.286, Steinkopf",Desconocida,Costa Rica,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/b/b8/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.286-Steinkopf.jpg""}"
"MRZ Inv.Nr. 2025.281, Mahlstein",Ano 1,Q96,Q1183543,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/0b/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.281-Mahlstein.jpg""}"
Inv. 2025.287 Steintierkopf,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.287-Steintierkopf.jpg""}"
Inv. 2025.282 Metate in Raubkatzenform,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/d6/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.282-Metate-in-Raubkatzenform.jpg""}"
Inv. 2025.293 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.293-Figur.jpg""}"
Inv. 2025.288 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.288-Figur.jpg""}"
Inv. 2025.294 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.294-Figur.jpg""}"
Inv. 2025.289 Figürchen,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.289-Fig%C3%BCrchen.jpg""}"
Inv. 2025.295 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.295-Figur.jpg""}"
Inv. 2025.290 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.290-Figur.jpg""}"
Inv. 2025.291 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.291-Figur.jpg""}"
"MRZ Inv.Nr. 2025.296, Figur",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/0a/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.296-Figur.jpg""}"
Inv. 2025.292 Figürchen,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.292-Fig%C3%BCrchen.jpg""}"
"MRZ Inv.Nr. 2025.297, Sitzendes Figürchen",Ano 1001,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/d1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.297-Sitzendes-Fig%C3%BCrchen.jpg""}"
"MRZ Inv.Nr. 2025.303, Figürchen",Ano 1001,Estado de Oaxaca,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/9/9c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.303-Fig%C3%BCrchen.jpg""}"
"MRZ Inv.Nr. 2025.298, Steinkopf",Ano 1,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/52/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.298-Steinkopf.jpg""}"
"MRZ Inv.Nr. 2025.304, Gesichtsplatte",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/1e/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.304-Gesichtsplatte.jpg""}"
"MRZ Inv.Nr. 2025.299, Kopf",Ano 1,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/19/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.299-Kopf.jpg""}"
"MRZ Inv.Nr. 2025.305, Maiskolben (Conopa)",Ano 1001,Perú,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/f/f3/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.305-Maiskolben-%28Conopa%29.jpg""}"
"MRZ Inv.Nr. 2025.300, Kopf",Ano 1001,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/8c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.300-Kopf.jpg""}"
"MRZ Inv.Nr. 2025.301, Muschelhorn",Ano 1,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/9/9f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.301-Muschelhorn.jpg""}"
"MRZ Inv.Nr. 2025.306, Figur mit Maiskolben (Conopa)",Ano 1001,Perú,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/e8/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.306-Figur-mit-Maiskolben-%28Conopa%29.jpg""}"
"MRZ Inv.Nr. 2025.302, Sitzendes Figürchen",Ano 1001,Estado de Oaxaca,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/f/f1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.302-Sitzendes-Fig%C3%BCrchen.jpg""}"
"MRZ Inv.Nr. 2025.307, Figur mit Maiskolben (Conopa)",Ano 1001,Perú,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/e3/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.307-Figur-mit-Maiskolben-%28Conopa%29.jpg""}"
"MRZ Inv.Nr. 2025.313, Figur",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/a/ac/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.313-Figur.jpg""}"
"MRZ Inv.Nr. 2025.308, Maiskolben (Conopa)",Ano 1001,Perú,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/6/67/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.308-Maiskolben-%28Conopa%29.jpg""}"
"MRZ Inv.Nr. 2025.309, Figur",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.309-Figur%2C.jpg""}"
"MRZ Inv.Nr. 2025.314, Figur",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/eb/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.314-Figur.jpg""}"
"MRZ Inv.Nr. 2025.315, Mezcala Figur",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/0e/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.315-Mezcala-Figur.jpg""}"
"MRZ Inv.Nr. 2025.310, Köpfchen",Desconocida,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c9/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.310-K%C3%B6pfchen.jpg""}"
"MRZ Inv.Nr. 2025.316, Sitzende Figur",Desconocida,Guerrero,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/70/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.316-Sitzende-Figur.jpg""}"
"MRZ Inv.Nr. 2025.311, Axt Figur Anhänger",Desconocida,Costa Rica,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/17/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.311-Axt-Figur-Anh%C3%A4nger.jpg""}"
"MRZ Inv.Nr. 2025.317, Figur",Desconocida,Guerrero,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/9/9d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.317-Figur.jpg""}"
"MRZ Inv.Nr. 2025.312, Figur",Desconocida,Guerrero,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/a/a0/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.312-Figur.jpg""}"
Inv. 2025.318 Stehende Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/3c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.318-Stehende-Figur.jpg""}"
Inv. 2025.323 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/e9/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.323-Figur.jpg""}"
Inv. 2025.324 Röhrenförmige Perle mit eingeschnittenem Totenkopfdekor.,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.324-R%C3%B6hrenf%C3%B6rmige-Perle-mit-eingeschnittenem-Totenkopfdekor..jpg""}"
Inv. 2025.319 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.319-Figur.jpg""}"
Inv. 2025.325 Röhrenförmige Perle mit eingeschnittenem Dekor.,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.325-R%C3%B6hrenf%C3%B6rmige-Perle-mit-eingeschnittenem-Dekor..jpg""}"
Inv. 2025.320 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.320-Figur.jpg""}"
Inv. 2025.326 Kleiner Becher,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.326-Kleiner-Becher.jpg""}"
Inv. 2025.321 Steinkopf,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.321-Steinkopf.jpg""}"
Inv. 2025.327 Katzenförmiges Gefäss,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.327-Katzenf%C3%B6rmiges-Gef%C3%A4ss.jpg""}"
Inv. 2025.322 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.322-Figur.jpg""}"
Inv. 2025.333 Hacha im Form eines menschlichen Kopfes,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.333-Hacha-im-Form-eines-menschlichen-Kopfes.jpg""}"
Inv. 2025.328 Steingesichtsmaske,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.328-Steingesichtsmaske.jpg""}"
Inv. 2025.329 Keulenkopf Vogelform,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.329-Keulenkopf-Vogelform.jpg""}"
Inv. 2025.334 Vogelsteinkopf,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.334-Vogelsteinkopf.jpg""}"
Inv. 2025.335 Steinperlenkette,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.335-Steinperlenkette.jpg""}"
Inv. 2025.330 Keule in Form eines Vogelkopfes,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.330-Keule-in-Form-eines-Vogelkopfes.jpg""}"
Inv. 2025.331 Keulenkopf,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.331-Keulenkopf.jpg""}"
Inv. 2025.336 Holzbecher mit Griff,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.336-Holzbecher-mit-Griff.jpg""}"
Inv. 2025.332 Keulenkopf,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.332-Keulenkopf.jpg""}"
Inv. 2025.337 Kero,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.337-Kero.jpg""}"
"MRZ Inv.Nr. 2025.343, Schale",Ano 1001,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.343-Schale.jpg""}"
"MRZ Inv.Nr. 2025.338, Kero",Ano 1001,Perú,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.338-Kero.jpg""}"
"MRZ Inv.Nr. 2025.344, Schale",Desconocida,Estado de Veracruz,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.344-Schale.jpg""}"
"MRZ Inv.Nr. 2025.339, Gefäss",Desconocida,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.339-Gef%C3%A4ss.jpg""}"
"MRZ Inv.Nr. 2025.345, Schale",Desconocida,Perú,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.345-Schale.jpg""}"
"MRZ Inv.Nr. 2025.340, Dreibein Gefäss",Desconocida,Costa Rica,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.340-Dreibein-Gef%C3%A4ss.jpg""}"
"MRZ Inv.Nr. 2025.341, Gefäss",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.341-Gef%C3%A4ss.jpg""}"
"MRZ Inv.Nr. 2025.346, Figur",Desconocida,Perú,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.346-Figur.jpg""}"
"MRZ Inv.Nr. 2025.347, Schale",Desconocida,Perú,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.347-Schale.jpg""}"
"MRZ Inv.Nr. 2025.342, Schale",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.342-Schale.jpg""}"
"MRZ Inv.Nr. 2025.352.2, Urne",Desconocida,Colombia,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/08/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.352.2-Urne.jpg""}"
"MRZ Inv.Nr. 2025.348, Schale",Desconocida,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/56/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.348-Schale.jpg""}"
"MRZ Inv.Nr. 2025.349, Schale",Desconocida,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/a/ab/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.349-Schale.jpg""}"
"MRZ Inv.Nr. 2025.353.1, Deckel einer Graburne",Desconocida,Colombia,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/16/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.353.1-Deckel-einer-Graburne.jpg""}"
"MRZ Inv.Nr. 2025.353.2, Urne",Desconocida,Colombia,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/3b/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.353.2-Urne.jpg""}"
"MRZ Inv.Nr. 2025.350, Schale",Desconocida,Ecuador,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/8d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.350-Schale.jpg""}"
"MRZ Inv.Nr. 2025.351, Gefäss in Jaguar-Form",Ano 1001,Costa Rica,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/84/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.351-Gef%C3%A4ss-in-Jaguar-Form.jpg""}"
"MRZ Inv.Nr. 2025.354, Schale",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/5c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.354-Schale.jpg""}"
"MRZ Inv.Nr. 2025.352.1, Deckel der Graburne",Desconocida,Colombia,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/a/a9/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.352.1-Deckel-der-Graburne.jpg""}"
"MRZ Inv.Nr. 2025.355, Gefäss",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/77/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.355-Gef%C3%A4ss.jpg""}"
"MRZ Inv.Nr. 2025.361, Gefäss mit Kopf und Griff",Desconocida,Ecuador,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/b/b3/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.361-Gef%C3%A4ss-mit-Kopf-und-Griff.jpg""}"
"MRZ Inv.Nr. 2025.356, Schale (zwei Fragmente)",Desconocida,Ecuador,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/4/47/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.356-Schale-%28zwei-Fragmente%29.jpg""}"
"MRZ Inv.Nr. 2025.357, Schale",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/a/a1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.357-Schale.jpg""}"
"MRZ Inv.Nr. 2025.362, Steigbügelgefäss in Form einer Figur mit Felidenzähnen",Ano 1,Perú,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/2/2d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.362-Steigb%C3%BCgelgef%C3%A4ss-in-Form-einer-Figur-mit-Felidenz%C3%A4hnen.jpg""}"
"MRZ Inv.Nr. 2025.363, Tiermaske",Ano 1,México,máscara,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/5d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.363-Tiermaske.jpg""}"
"MRZ Inv.Nr. 2025.358, Schale",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/eb/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.358-Schale.jpg""}"
"MRZ Inv.Nr. 2025.364, Kopf",Desconocida,Ecuador,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/3c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.364-Kopf.jpg""}"
"MRZ Inv.Nr. 2025.359, Gefäss in Tierform",Ano 1,México,vasija,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/31/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.359-Gef%C3%A4ss-in-Tierform.jpg""}"
"MRZ Inv.Nr. 2025.365, Figur",Desconocida,Ecuador,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/a/a1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.365-Figur.jpg""}"
"MRZ Inv.Nr. 2025.360, Gefäss in Tierkopfform",Ano 1,México,Q96952903,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/9/9a/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.360-Gef%C3%A4ss-in-Tierkopfform.jpg""}"
"MRZ Inv.Nr. 2025.366, Weibliche Figur",Desconocida,Q800,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c6/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.366-Weibliche-Figur.jpg""}"
Inv. 2025.371 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/50/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.371-Figur.jpg""}"
Inv. 2025.367 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/3d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.367-Figur.jpg""}"
Inv. 2025.372 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/9/99/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.372-Figur.jpg""}"
Inv. 2025.373 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.373-Figur.jpg""}"
Inv. 2025.368 Opferdarstellung Figur auf Gerüst,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.368-Opferdarstellung-Figur-auf-Ger%C3%BCst.jpg""}"
